ticker,entry_date,exit_date,entry_price,exit_price,profit,return_pct,days_held
XLF,2024-01-31,2024-02-02,37.89,38.11,0.22,0.57,2
XLF,2024-02-05,2024-02-09,37.88,38.21,0.32,0.85,4
XLF,2024-02-12,2024-02-14,38.38,38.23,-0.16,-0.41,2
XLF,2024-02-16,2024-02-22,38.74,39.2,0.46,1.19,6
XLF,2024-02-23,2024-03-04,39.4,39.49,0.09,0.22,10
XLF,2024-03-07,2024-03-12,39.64,39.95,0.3,0.76,5
XLF,2024-03-14,2024-03-15,39.92,39.88,-0.04,-0.1,1
XLF,2024-03-18,2024-03-20,40.11,40.78,0.68,1.69,2
XLF,2024-03-22,2024-04-12,40.65,39.31,-1.33,-3.28,21
XLF,2024-04-15,2024-04-19,39.11,39.63,0.51,1.3,4
XLF,2024-04-22,2024-05-01,40.11,39.61,-0.5,-1.25,9
XLF,2024-05-02,2024-06-20,39.7,40.71,1.01,2.55,49
XLF,2024-06-21,2024-07-11,40.56,41.61,1.06,2.61,20
XLF,2024-07-12,2024-07-15,41.75,42.36,0.61,1.46,3
XLF,2024-07-18,2024-08-05,42.65,40.24,-2.41,-5.66,18
XLF,2024-08-07,2024-08-08,40.93,41.59,0.66,1.61,1
XLF,2024-08-09,2024-09-09,41.77,44.28,2.51,6.01,31
XLF,2024-09-10,2024-09-16,43.83,44.42,0.59,1.35,6
XLF,2024-09-17,2024-09-20,44.66,44.98,0.33,0.73,3
XLF,2024-09-23,2024-10-11,44.93,45.99,1.06,2.35,18
XLF,2024-10-14,2024-10-16,46.27,46.95,0.67,1.45,2
XLF,2024-10-18,2024-10-28,47.08,46.68,-0.41,-0.86,10
XLF,2024-10-29,2024-11-05,46.39,46.19,-0.21,-0.45,7
XLF,2024-11-07,2024-11-08,48.2,48.64,0.44,0.9,1
XLF,2024-11-13,2024-11-15,49.21,49.31,0.1,0.2,2
XLF,2024-11-18,2024-11-21,49.46,49.61,0.15,0.3,3
XLF,2024-11-26,2024-11-27,50.59,50.68,0.1,0.2,1
XLF,2024-11-29,2024-12-05,50.76,49.84,-0.92,-1.81,6
XLF,2024-12-06,2024-12-20,49.83,47.96,-1.87,-3.75,14
XLF,2024-12-24,2025-01-13,48.65,47.33,-1.32,-2.71,20
XLF,2025-01-22,2025-01-23,50.06,50.34,0.29,0.58,1
XLF,2025-01-28,2025-01-29,50.96,50.92,-0.04,-0.08,1
XLF,2025-01-31,2025-02-03,51.11,50.9,-0.21,-0.41,3
XLF,2025-02-04,2025-02-05,50.78,51.32,0.54,1.06,1
XLF,2025-02-06,2025-02-11,51.74,51.18,-0.57,-1.09,5
XLF,2025-02-20,2025-02-24,51.03,50.61,-0.42,-0.82,4
XLF,2025-02-25,2025-02-27,50.6,50.77,0.17,0.33,2
XLF,2025-03-03,2025-03-05,51.38,49.86,-1.52,-2.96,2
XLF,2025-03-06,2025-03-07,49.03,48.78,-0.26,-0.53,1
XLF,2025-03-10,2025-03-14,47.68,48.18,0.5,1.04,4
XLF,2025-03-18,2025-03-19,48.69,49.22,0.54,1.1,1
XLF,2025-03-25,2025-03-31,50.26,49.64,-0.62,-1.23,6
XLF,2025-04-01,2025-04-02,49.58,49.99,0.41,0.82,1
XLF,2025-04-04,2025-04-07,44.05,43.94,-0.11,-0.25,3
XLF,2025-04-08,2025-04-09,43.77,47.07,3.3,7.54,1
XLF,2025-04-10,2025-04-11,45.75,46.51,0.76,1.66,1
XLF,2025-04-14,2025-04-17,46.99,46.49,-0.5,-1.06,3
XLF,2025-04-21,2025-04-22,45.49,47.0,1.5,3.31,1
XLF,2025-04-23,2025-04-29,47.56,48.5,0.95,1.99,6
