date,ticker,action,price,quantity,entry_price,exit_price,signal,profit,stop_loss,take_profit
2023-01-30,UNG,BUY,36.47999954223633,5609,36.47999954223633,,BUY,,34.65599956512451,38.303999519348146
2023-01-31,UNG,SELL,37.27999877929688,5609,36.47999954223633,37.27999877929688,SELL,4487.195720672647,34.65599956512451,38.303999519348146
2023-02-09,UNG,BUY,33.400001525878906,6261,33.400001525878906,,BUY,,31.73000144958496,35.07000160217285
2023-02-10,UNG,SELL,35.15999984741211,6261,33.400001525878906,35.15999984741211,SELL,11019.349491119385,31.73000144958496,35.07000160217285
2023-02-14,UNG,BUY,35.400001525878906,6219,35.400001525878906,,BUY,,33.63000144958496,37.17000160217285
2023-02-16,UNG,SELL,33.040000915527344,6219,35.400001525878906,33.040000915527344,SELL,-14676.843795776367,33.63000144958496,37.17000160217285
2023-02-22,UNG,BUY,30.31999969482422,6776,30.31999969482422,,BUY,,28.803999710083005,31.835999679565433
2023-02-23,UNG,SELL,32.279998779296875,6776,30.31999969482422,32.279998779296875,SELL,13280.953796386719,28.803999710083005,31.835999679565433
2023-03-07,UNG,BUY,35.08000183105469,6235,35.08000183105469,,BUY,,33.326001739501955,36.83400192260742
2023-03-08,UNG,SELL,34.31999969482422,6235,35.08000183105469,34.31999969482422,SELL,-4738.613319396973,33.326001739501955,36.83400192260742
2023-03-10,UNG,BUY,32.15999984741211,6654,32.15999984741211,,BUY,,30.5519998550415,33.76799983978272
2023-03-13,UNG,SELL,34.599998474121094,6654,32.15999984741211,34.599998474121094,SELL,16235.750862121582,30.5519998550415,33.76799983978272
2023-03-16,UNG,BUY,33.36000061035156,6902,33.36000061035156,,BUY,,31.692000579833984,35.028000640869145
2023-03-17,UNG,SELL,31.200000762939453,6902,33.36000061035156,31.200000762939453,SELL,-14908.318946838379,31.692000579833984,35.028000640869145
2023-03-23,UNG,BUY,28.71999931335449,7498,28.71999931335449,,BUY,,27.283999347686763,30.155999279022215
2023-03-27,UNG,SELL,28.280000686645508,7498,28.71999931335449,28.280000686645508,SELL,-3299.109703063938,27.283999347686763,30.155999279022215
2023-03-28,UNG,BUY,27.31999969482422,7761,27.31999969482422,,BUY,,25.953999710083007,28.68599967956543
2023-03-29,UNG,SELL,27.600000381469727,7761,27.31999969482422,27.600000381469727,SELL,2173.085329055786,25.953999710083007,28.68599967956543
2023-03-31,UNG,BUY,27.76000022888184,7716,27.76000022888184,,BUY,,26.372000217437748,29.14800024032593
2023-04-03,UNG,SELL,26.84000015258789,7716,27.76000022888184,26.84000015258789,SELL,-7098.720588684109,26.372000217437748,29.14800024032593
2023-04-04,UNG,BUY,26.440000534057617,7833,26.440000534057617,,BUY,,25.118000507354736,27.762000560760498
2023-04-05,UNG,SELL,27.15999984741211,7833,26.440000534057617,27.15999984741211,SELL,5639.754621505737,25.118000507354736,27.762000560760498
2023-04-10,UNG,BUY,27.39999961853028,7765,27.39999961853028,,BUY,,26.029999637603765,28.769999599456796
2023-04-11,UNG,SELL,28.239999771118164,7765,27.39999961853028,28.239999771118164,SELL,6522.601184844915,26.029999637603765,28.769999599456796
2023-04-19,UNG,BUY,27.959999084472656,7842,27.959999084472656,,BUY,,26.56199913024902,29.357999038696292
2023-04-20,UNG,SELL,28.07999992370605,7842,27.959999084472656,28.07999992370605,SELL,941.0465812682827,26.56199913024902,29.357999038696292
2023-04-21,UNG,BUY,28.0,7865,28.0,,BUY,,26.599999999999998,29.400000000000002
2023-04-26,UNG,SELL,27.040000915527344,7865,28.0,27.040000915527344,SELL,-7550.392799377441,26.599999999999998,29.400000000000002
2023-04-28,UNG,BUY,28.040000915527344,7584,28.040000915527344,,BUY,,26.638000869750975,29.442000961303712
2023-05-01,UNG,SELL,27.040000915527344,7584,28.040000915527344,27.040000915527344,SELL,-7584.0,26.638000869750975,29.442000961303712
2023-05-05,UNG,BUY,24.68000030517578,8309,24.68000030517578,,BUY,,23.44600028991699,25.91400032043457
2023-05-08,UNG,SELL,26.1200008392334,8309,24.68000030517578,26.1200008392334,SELL,11964.964437484741,23.44600028991699,25.91400032043457
2023-05-10,UNG,BUY,25.600000381469727,8478,25.600000381469727,,BUY,,24.32000036239624,26.880000400543214
2023-05-18,UNG,SELL,29.920000076293945,8478,25.600000381469727,29.920000076293945,SELL,36624.95741271973,24.32000036239624,26.880000400543214
2023-05-19,UNG,BUY,29.84000015258789,8501,29.84000015258789,,BUY,,28.348000144958494,31.332000160217287
2023-05-22,UNG,SELL,28.0,8501,29.84000015258789,28.0,SELL,-15641.841297149658,28.348000144958494,31.332000160217287
2023-05-23,UNG,BUY,27.520000457763672,8649,27.520000457763672,,BUY,,26.144000434875487,28.896000480651857
2023-05-25,UNG,SELL,27.040000915527344,8649,27.520000457763672,27.040000915527344,SELL,-4151.516040802002,26.144000434875487,28.896000480651857
2023-05-26,UNG,BUY,26.559999465942383,8805,26.559999465942383,,BUY,,25.23199949264526,27.887999439239504
