ticker,model,feature,importance
ABBV,GradientBoosting,total_score,0.0
ABBV,LinearRegression,open,0.11373600507996441
ABBV,LinearRegression,high,0.15361291029171192
ABBV,LinearRegression,low,0.06977360275469842
ABBV,LinearRegression,close,0.6628774674984561
ABBV,LinearRegression,volume,1.4375169165252118e-08
ABBV,LinearRegression,pe_ratio,0.0
ABBV,LinearRegression,eps,5.268033216821024e-29
ABBV,LinearRegression,market_cap,0.0
ABBV,LinearRegression,pb_ratio,0.0
ABBV,LinearRegression,dividend_yield,0.0
ABBV,LinearRegression,total_score,8.428451537175546e-28
AMD,RandomForest,open,0.0030292818049775746
AMD,RandomForest,high,0.05398302108525994
AMD,RandomForest,low,0.02559804134601712
AMD,RandomForest,close,0.9145637404832955
AMD,RandomForest,volume,0.002825915280449926
AMD,RandomForest,pe_ratio,0.0
AMD,RandomForest,eps,0.0
AMD,RandomForest,market_cap,0.0
AMD,RandomForest,pb_ratio,0.0
AMD,RandomForest,dividend_yield,0.0
AMD,RandomForest,total_score,0.0
AMD,RandomForest,open,0.0030292818049775746
AMD,RandomForest,high,0.05398302108525994
AMD,RandomForest,low,0.02559804134601712
AMD,RandomForest,close,0.9145637404832955
AMD,RandomForest,volume,0.002825915280449926
AMD,RandomForest,pe_ratio,0.0
AMD,RandomForest,eps,0.0
AMD,RandomForest,market_cap,0.0
AMD,RandomForest,pb_ratio,0.0
AMD,RandomForest,dividend_yield,0.0
AMD,RandomForest,total_score,0.0
AMD,GradientBoosting,open,0.02472249461056727
AMD,GradientBoosting,high,0.031870177605072
AMD,GradientBoosting,low,0.13128369554591318
AMD,GradientBoosting,close,0.811160386976066
AMD,GradientBoosting,volume,0.0009632452623815187
AMD,GradientBoosting,pe_ratio,0.0
AMD,GradientBoosting,eps,0.0
AMD,GradientBoosting,market_cap,0.0
AMD,GradientBoosting,pb_ratio,0.0
AMD,GradientBoosting,dividend_yield,0.0
AMD,GradientBoosting,total_score,0.0
AMD,LinearRegression,open,0.06070300708321629
AMD,LinearRegression,high,0.05298546259344197
AMD,LinearRegression,low,0.03382500572939664
AMD,LinearRegression,close,0.852486520758359
AMD,LinearRegression,volume,3.835585973036094e-09
AMD,LinearRegression,pe_ratio,1.2605556834542933e-29
AMD,LinearRegression,eps,1.9696182553973332e-31
AMD,LinearRegression,market_cap,0.0
AMD,LinearRegression,pb_ratio,7.878473021589333e-31
AMD,LinearRegression,dividend_yield,0.0
