date,cash,market_value,total_value
2024-02-28,153.26445770275313,207618.84439086914,207772.1088485719
2024-02-29,212088.49787139904,0.0,212088.49787139904
2024-03-01,6.696418762323447,212081.80145263672,212088.49787139904
2024-03-04,6.696418762323447,211320.20217895508,211326.8985977174
2024-03-05,6.696418762323447,207202.79418945312,207209.49060821545
2024-03-06,6.696418762323447,206476.89346313477,206483.5898818971
2024-03-07,6.696418762323447,210415.8087158203,210422.50513458264
2024-03-08,6.696418762323447,208666.5072631836,208673.20368194592
2024-03-11,6.696418762323447,204632.40798950195,204639.10440826428
2024-03-12,208720.79569244396,0.0,208720.79569244396
2024-03-13,26.87857818615157,208693.9171142578,208720.79569244396
2024-03-14,211309.37857818615,0.0,211309.37857818615
2024-03-15,86.76079559337813,211222.61778259277,211309.37857818615
2024-03-18,86.76079559337813,211295.2748260498,211382.03562164318
2024-03-19,213101.65340423596,0.0,213101.65340423596
2024-03-20,213101.65340423596,0.0,213101.65340423596
2024-03-21,34.26070404064376,213067.3927001953,213101.65340423596
2024-03-22,213962.7748641969,0.0,213962.7748641969
2024-03-25,107.86687469494063,213854.90798950195,213962.7748641969
2024-03-26,107.86687469494063,212177.0036315918,212284.87050628674
2024-03-27,214105.56905365002,0.0,214105.56905365002
2024-03-28,174.88326263439376,213930.68579101562,214105.56905365002
2024-04-01,174.88326263439376,214630.4214477539,214805.3047103883
2024-04-02,214473.2261581422,0.0,214473.2261581422
2024-04-03,141.47185516377795,214331.75430297843,214473.2261581422
2024-04-04,141.47185516377795,211500.0,211641.47185516378
2024-04-05,141.47185516377795,217457.25860595703,217598.7304611208
2024-04-08,141.47185516377795,217598.25286865234,217739.72472381612
2024-04-09,218303.71970367452,0.0,218303.71970367452
2024-04-10,218303.71970367452,0.0,218303.71970367452
2024-04-11,218303.71970367452,0.0,218303.71970367452
2024-04-12,159.35398101827013,218144.36572265625,218303.71970367452
2024-04-15,159.35398101827013,215202.63427734375,215361.98825836202
2024-04-16,159.35398101827013,214851.04858398438,215010.40256500265
2024-04-17,159.35398101827013,212460.15856933594,212619.5125503542
2024-04-18,159.35398101827013,210045.84143066406,210205.19541168233
2024-04-19,159.35398101827013,204666.36572265625,204825.71970367452
2024-04-22,207872.90897369405,0.0,207872.90897369405
2024-04-23,207872.90897369405,0.0,207872.90897369405
2024-04-24,26.483283996785758,207846.42568969727,207872.90897369405
2024-04-25,204436.07112884542,0.0,204436.07112884542
2024-04-26,204436.07112884542,0.0,204436.07112884542
2024-04-29,204436.07112884542,0.0,204436.07112884542
2024-04-30,36.07112884541857,204400.0,204436.07112884542
2024-05-01,36.07112884541857,209072.0,209108.07112884542
2024-05-02,215789.03255462667,0.0,215789.03255462667
2024-05-03,157.84477996846545,215631.1877746582,215789.03255462667
2024-05-06,218672.44124603292,0.0,218672.44124603292
2024-05-07,88.36760711684474,218584.07363891607,218672.44124603292
2024-05-08,217792.36760711684,0.0,217792.36760711684
2024-05-09,56.86760711684474,217735.5,217792.36760711684
2024-05-10,56.86760711684474,215414.51509094235,215471.3826980592
2024-05-13,56.86760711684474,214368.93841552734,214425.8060226442
2024-05-14,215000.3060226442,0.0,215000.3060226442
2024-05-15,215000.3060226442,0.0,215000.3060226442
2024-05-16,153.2003097535635,214847.10571289062,215000.3060226442
2024-05-17,153.2003097535635,216098.99642944336,216252.19673919692
2024-05-20,153.2003097535635,214741.7921447754,214894.99245452895
2024-05-21,214438.6931686403,0.0,214438.6931686403
2024-05-22,176.58745574968634,214262.10571289062,214438.6931686403
2024-05-23,176.58745574968634,211828.50357055664,212005.09102630633
2024-05-24,176.58745574968634,211477.5,211654.0874557497
2024-05-28,213292.08031463643,0.0,213292.08031463643
2024-05-29,146.6553115847055,213145.42500305173,213292.08031463643
2024-05-30,146.6553115847055,209983.72857666016,210130.38388824486
2024-05-31,206757.89817047142,0.0,206757.89817047142
2024-06-03,206757.89817047142,0.0,206757.89817047142
2024-06-04,206757.89817047142,0.0,206757.89817047142
2024-06-05,206757.89817047142,0.0,206757.89817047142
2024-06-06,206757.89817047142,0.0,206757.89817047142
2024-06-07,157.59474945091642,206600.3034210205,206757.89817047142
2024-06-10,209851.85201263445,0.0,209851.85201263445
2024-06-11,209851.85201263445,0.0,209851.85201263445
2024-06-12,209851.85201263445,0.0,209851.85201263445
2024-06-13,101.81992340105353,209750.0320892334,209851.85201263445
2024-06-14,209657.88410186776,0.0,209657.88410186776
2024-06-17,209657.88410186776,0.0,209657.88410186776
2024-06-18,209657.88410186776,0.0,209657.88410186776
2024-06-20,209657.88410186776,0.0,209657.88410186776
2024-06-21,209657.88410186776,0.0,209657.88410186776
2024-06-24,149.34583282479434,209508.53826904297,209657.88410186776
2024-06-25,149.34583282479434,210377.85586547854,210527.20169830334
2024-06-26,218735.03652191174,0.0,218735.03652191174
2024-06-27,218735.03652191174,0.0,218735.03652191174
2024-06-28,169.2865219117375,218565.75,218735.03652191174
2024-07-01,223202.48307037365,0.0,223202.48307037365
2024-07-02,223202.48307037365,0.0,223202.48307037365
2024-07-03,123.37720489510684,223079.10586547854,223202.48307037365
2024-07-05,225923.3772048951,0.0,225923.3772048951
2024-07-08,127.81481170663028,225795.56239318848,225923.3772048951
2024-07-09,127.81481170663028,225852.2158508301,225980.03066253674
2024-07-10,226489.8772048951,0.0,226489.8772048951
2024-07-11,226489.8772048951,0.0,226489.8772048951
2024-07-12,103.51081085210899,226386.366394043,226489.8772048951
2024-07-15,103.51081085210899,224326.08142089844,224429.59223175055
2024-07-16,103.51081085210899,224675.2849731445,224778.7957839966
2024-07-17,218854.02228546148,0.0,218854.02228546148
2024-07-18,218854.02228546148,0.0,218854.02228546148
2024-07-19,13.666450500546489,218840.35583496094,218854.02228546148
2024-07-22,13.666450500546489,218147.2536468506,218160.92009735113
2024-07-23,13.666450500546489,222759.9543762206,222773.62082672113
2024-07-24,13.666450500546489,216091.85218811035,216105.5186386109
2024-07-25,214934.42374420172,0.0,214934.42374420172
2024-07-26,131.92374420171836,214802.5,214934.42374420172
2024-07-29,131.92374420171836,215626.39640808105,215758.32015228277
2024-07-30,214004.6016464234,0.0,214004.6016464234
2024-07-31,99.48653411873966,213905.11511230466,214004.6016464234
2024-08-01,99.48653411873966,210576.08837890625,210675.574913025
2024-08-02,192177.07955169686,0.0,192177.07955169686
2024-08-05,192177.07955169686,0.0,192177.07955169686
2024-08-06,128.10823822030216,192048.97131347656,192177.07955169686
2024-08-07,128.10823822030216,193045.22506713867,193173.33330535897
2024-08-08,196766.91185760507,0.0,196766.91185760507
2024-08-09,111.58898162850528,196655.32287597656,196766.91185760507
2024-08-12,111.58898162850528,196490.4035949707,196601.9925765992
2024-08-13,111.58898162850528,200530.93496704102,200642.52394866952
2024-08-14,111.58898162850528,200377.8071899414,200489.3961715699
2024-08-15,209312.60466766366,0.0,209312.60466766366
2024-08-16,27.68755340584903,209284.9171142578,209312.60466766366
2024-08-19,210683.72899627694,0.0,210683.72899627694
2024-08-20,141.96324920663028,210541.7657470703,210683.72899627694
2024-08-21,141.96324920663028,211989.4707183838,212131.43396759042
2024-08-22,141.96324920663028,207305.0157470703,207446.97899627694
2024-08-23,141.96324920663028,208376.07209777832,208518.03534698495
2024-08-26,141.96324920663028,206563.5,206705.46324920663
2024-08-27,141.96324920663028,203762.2342529297,203904.19750213632
2024-08-28,201173.56684112558,0.0,201173.56684112558
2024-08-29,137.4125442505756,201036.154296875,201173.56684112558
2024-08-30,208625.41254425058,0.0,208625.41254425058
2024-09-03,121.66254425057559,208503.75,208625.41254425058
2024-09-04,121.66254425057559,205049.3921661377,205171.05471038827
2024-09-05,121.66254425057559,210443.8692779541,210565.53182220468
2024-09-06,121.66254425057559,202754.3692779541,202876.03182220468
2024-09-09,207619.8553237916,0.0,207619.8553237916
2024-09-10,60.05179595955997,207559.80352783203,207619.8553237916
2024-09-11,213365.17673492437,0.0,213365.17673492437
2024-09-12,213365.17673492437,0.0,213365.17673492437
2024-09-13,20.61045074465801,213344.56628417972,213365.17673492437
2024-09-16,211534.76975250247,0.0,211534.76975250247
2024-09-17,173.484230041533,211361.28552246094,211534.76975250247
2024-09-18,173.484230041533,210852.3217163086,211025.80594635013
2024-09-19,214916.4487075806,0.0,214916.4487075806
2024-09-20,214916.4487075806,0.0,214916.4487075806
2024-09-23,214916.4487075806,0.0,214916.4487075806
2024-09-24,214916.4487075806,0.0,214916.4487075806
2024-09-25,52.97006988528301,214863.4786376953,214916.4487075806
2024-09-26,213387.53415679926,0.0,213387.53415679926
2024-09-27,41.582771301211324,213345.95138549805,213387.53415679926
2024-09-30,41.582771301211324,211484.55207824707,211526.13484954828
2024-10-01,210164.1383132934,0.0,210164.1383132934
2024-10-02,92.02455902087968,210072.11375427252,210164.1383132934
2024-10-03,92.02455902087968,206888.527633667,206980.55219268787
2024-10-04,212153.8883132934,0.0,212153.8883132934
2024-10-07,75.48473358148476,212078.4035797119,212153.8883132934
2024-10-08,214406.04616546625,0.0,214406.04616546625
2024-10-09,214406.04616546625,0.0,214406.04616546625
2024-10-10,131.85317230215878,214274.1929931641,214406.04616546625
2024-10-11,131.85317230215878,216765.36840820312,216897.22158050528
2024-10-14,131.85317230215878,215295.91229248047,215427.76546478263
2024-10-15,215599.97597503653,0.0,215599.97597503653
2024-10-16,115.80667877188534,215484.16929626465,215599.97597503653
2024-10-17,216337.89527130118,0.0,216337.89527130118
2024-10-18,133.32898712146562,216204.56628417972,216337.89527130118
2024-10-21,216429.41736602772,0.0,216429.41736602772
2024-10-22,171.42084503162187,216257.9965209961,216429.41736602772
2024-10-23,171.42084503162187,210569.4076538086,210740.82849884022
2024-10-24,212644.62641143787,0.0,212644.62641143787
2024-10-25,21.064338683965616,212623.5620727539,212644.62641143787
